gvkey,datadate,fyear,tic,revt,cogs,ni,invt,xrd,at,che
019661,2021-03-31,2020,TM,246059.0,187500.0,20300.0,26112.0,9859.0,562983.0,46119.0
019661,2022-03-31,2021,TM,258406.0,194227.0,23470.0,31468.0,9258.0,557408.0,50346.0
019661,2023-03-31,2022,TM,279487.0,216654.0,18440.0,32013.0,9340.0,558933.0,56545.0
019661,2024-03-31,2023,TM,298146.0,222409.0,32693.0,30448.0,8187.0,595788.0,62228.0
019661,2025-03-31,2024,TM,320782.0,241789.0,31821.0,30706.0,8858.0,625056.0,59983.0
184996,2020-12-31,2020,TSLA,31536.0,22351.0,721.0,4101.0,1491.0,52148.0,19622.0
184996,2021-12-31,2021,TSLA,53823.0,37306.0,5519.0,5757.0,2593.0,62131.0,18052.0
184996,2022-12-31,2022,TSLA,81462.0,56862.0,12556.0,12839.0,3075.0,82338.0,22479.0
184996,2023-12-31,2023,TSLA,96773.0,74446.0,14997.0,13626.0,3969.0,106618.0,29637.0
184996,2024-12-31,2024,TSLA,97690.0,74872.0,7091.0,12017.0,4540.0,122070.0,37057.0
184996,2025-12-31,2025,TSLA,94827.0,71585.0,3794.0,12392.0,6411.0,137806.0,44448.0
